ds,yhat
2025-02-01,2594771.584534945
2025-03-01,3086969.7324704
2025-04-01,2632439.642283472
2025-05-01,3786504.2444
2025-06-01,3695398.5534217
2025-07-01,2383770.3272146843
2025-08-01,2938551.0480011874
2025-09-01,4693544.015647678
