Grade,Gauge,Month,National,Weight Purchased,Weight Sold,Weight Consumed
DC,.134 ST,2022-07-01,1,0.0,2488.0,8060.625
DC,.134 ST,2022-08-01,0,0.0,12789.56,0.0
DC,.134 ST,2022-09-01,0,0.0,0.0,1397.5
DC,.134 ST,2022-09-01,1,0.0,12069.6,8384.888888888889
DC,.134 ST,2022-10-01,0,0.0,2490.0,0.0
DC,.134 ST,2022-10-01,1,0.0,4440.0,0.0
DC,.134 ST,2022-11-01,1,0.0,14057.2,0.0
DC,.134 ST,2022-12-01,1,0.0,6540.0,0.0
DC,.134 ST,2023-01-01,0,3169.125,0.0,0.0
DC,.134 ST,2023-01-01,1,4759.9375,8880.0,0.0
DC,.134 ST,2023-02-01,0,0.0,3690.0,1499.1176470588234
DC,.134 ST,2023-02-01,1,0.0,0.0,4497.411764705883
DC,.134 ST,2023-03-01,0,1583.875,0.0,0.0
DC,.134 ST,2023-03-01,1,9503.25,0.0,0.0
DC,.134 ST,2023-04-01,1,0.0,4440.0,0.0
DC,.134 ST,2023-05-01,0,7922.875,0.0,3169.125
DC,.134 ST,2023-05-01,1,17453.8125,0.0,3169.125
DC,.134 ST,2023-06-01,0,9460.5625,2488.0,0.0
DC,.134 ST,2023-06-01,1,23633.5,0.0,1590.8125
DC,.134 ST,2023-07-01,0,0.0,3690.0,0.0
DC,.134 ST,2023-07-01,1,0.0,3457.0,0.0
DC,.134 ST,2023-08-01,0,11983.847222222223,0.0,1583.875
DC,.134 ST,2023-08-01,1,11835.493055555555,0.0,9503.25
DC,.134 ST,2023-09-01,1,0.0,3457.0,0.0
DC,.134 ST,2023-10-01,1,0.0,3457.0,0.0
DC,.134 ST,2023-11-01,0,0.0,2100.0,0.0
DC,.134 ST,2023-11-01,1,0.0,2488.0,0.0
DC,.134 ST,2023-12-01,0,0.0,7380.0,7288.097222222223
DC,.134 ST,2023-12-01,1,0.0,8437.0,15083.368055555555
DC,.134 ST,2024-01-01,1,0.0,18540.5,0.0
DC,.134 ST,2024-02-01,1,0.0,3457.0,0.0
DC,.134 ST,2024-03-01,0,0.0,3690.0,3162.25
DC,.134 ST,2024-03-01,1,0.0,3457.0,7905.625
DC,.134 ST,2024-04-01,0,0.0,0.0,3167.75
DC,.134 ST,2024-04-01,1,0.0,9402.0,1583.875
DC,.134 ST,2024-05-01,0,0.0,7392.0,0.0
DC,.134 ST,2024-06-01,0,0.0,2478.0,6319.0
DC,.134 ST,2024-06-01,1,0.0,9404.0,12638.0
DC,.134 ST,2024-07-01,1,0.0,8397.4,0.0
DC,.134 ST,2024-08-01,0,0.0,3690.0,3141.5625
DC,.134 ST,2024-08-01,1,0.0,0.0,10995.5
DC,.134 ST,2024-09-01,0,0.0,0.0,6288.625
DC,.134 ST,2024-09-01,1,1663.8,16604.0,4716.4375
DC,.134 ST,2024-10-01,0,0.0,2100.0,0.0
DC,.134 ST,2024-10-01,1,5794.7692307692305,3457.0,0.0
DC,.134 ST,2024-11-01,1,7114.571428571428,7897.0,0.0
DC,.134 ST,2024-12-01,1,0.0,0.0,1663.8
DC,.134 ST,2025-01-01,1,0.0,128497.5,0.0
DC,.134 SW,2022-01-01,1,0.0,0.0,33657.333333333336
DC,.134 SW,2022-02-01,0,52629.46031746032,14284.5,49181.38461538462
DC,.134 SW,2022-02-01,1,74261.12727272727,0.0,14878.0
DC,.134 SW,2022-03-01,0,0.0,35950.60999999999,0.0
DC,.134 SW,2022-03-01,1,9764.2,95664.7,0.0
DC,.134 SW,2022-04-01,0,32645.595959595958,26639.3,0.0
DC,.134 SW,2022-04-01,1,56087.78762626262,0.0,0.0
DC,.134 SW,2022-05-01,0,0.0,2778.0,0.0
DC,.134 SW,2022-05-01,1,0.0,0.0,11532.666666666666
DC,.134 SW,2022-06-01,0,0.0,62017.2,52629.46031746032
DC,.134 SW,2022-06-01,1,4162.727272727273,34956.5,74261.12727272727
DC,.134 SW,2022-07-01,1,15532.75,18983.0,9764.2
DC,.134 SW,2022-08-01,0,0.0,78033.70999999999,4911.444444444444
DC,.134 SW,2022-08-01,1,52459.22619047619,0.0,6520.125
DC,.134 SW,2022-09-01,0,0.0,0.0,5746.666666666667
DC,.134 SW,2022-09-01,1,13778.881818181817,50096.25,22986.666666666668
DC,.134 SW,2022-10-01,0,0.0,20184.0,21987.484848484848
DC,.134 SW,2022-10-01,1,0.0,22791.0,30743.72323232323
DC,.134 SW,2022-11-01,0,7527.818181818182,0.0,0.0
DC,.134 SW,2022-11-01,1,0.0,89101.5,15532.75
DC,.134 SW,2022-12-01,1,0.0,27096.4,8142.333333333333
DC,.134 SW,2023-01-01,0,7039.0,0.0,0.0
DC,.134 SW,2023-01-01,1,65295.75,45261.0,16815.75
DC,.134 SW,2023-02-01,0,0.0,7350.75,0.0
DC,.134 SW,2023-02-01,1,0.0,0.0,41280.024675324676
DC,.134 SW,2023-03-01,0,6250.125,0.0,0.0
DC,.134 SW,2023-04-01,1,0.0,26819.55,0.0
DC,.134 SW,2023-05-01,0,6321.75,0.0,7527.818181818182
DC,.134 SW,2023-05-01,1,22452.780303030304,0.0,0.0
DC,.134 SW,2023-06-01,0,31813.305555555555,4630.0,7039.0
DC,.134 SW,2023-06-01,1,31513.428571428572,0.0,65295.75
